OUSubject,OUCourse,OU Title,Transfer Institution,TransferSubject,TransferCourse,Transfer Title,TransferHours,TransferLevel,OUCredits,Gen. Ed.,Pass
A HI,1113,Understanding Art,Alabama A&M University,ART,101,ART APPRECIATION,3,Lower Division Course,3,Gen Ed-Artistic Forms,
A HI,1113,Understanding Art,Alabama State University,ART,131,ART APPRECIATION,0,Lower Division Course,0,Gen Ed-Artistic Forms,
A HI,2213,Global Art I,Auburn University,ARTS,1710,INTRO ART HISTORY I,3,LOWER DIVISION,3,Gen Ed-Artistic Forms,
A HI,1999,Lower Division Transfer Credit,Auburn University,ARTS,1720,INTRO ART HIST II,3,Lower Division Course,3,,
A HI,2213,Global Art I,Auburn University,AT,171,HISTORY WORLD ART,2,Lower Division Course,2,Gen Ed-Artistic Forms,
A HI,2213,Global Art I,Auburn University,AT,172,HISTORY WORLD ART,2,Lower Division Course,1,Gen Ed-Artistic Forms,
A HI,2223,Global Art  II,Auburn University,AT,172,HISTORY WORLD ART,2,Lower Division Course,1,Gen Ed-Artistic Forms,
A HI,2223,Global Art  II,Auburn University,AT,173,HISTORY WORLD ART,2,Lower Division Course,2,Gen Ed-Artistic Forms,
A HI,1113,Understanding Art,Auburn University-Montgomery,VISU,1000,ART APPRECIATION/VISUAL ARTS,3,Lower Division Course,3,Gen Ed-Artistic Forms,
A HI,1113,Understanding Art,Bevill St Comm Coll - Sumiton,ART,100,ART APPRECIATION,3,Lower Division Course,3,Gen Ed-Artistic Forms,
A HI,1113,Understanding Art,Birmingham Southern College,AR,215,SURVEY OF ART HIST,4,,4,Gen Ed-Artistic Forms,
A HI,1113,Understanding Art,Birmingham Southern College,ARH,215,ART HISTORY,4,LOWER DIVISION,3,Gen Ed-Artistic Forms,
A HI,1999,Lower Division Transfer Credit,Birmingham Southern College,ARH,215,ART HISTORY,4,LOWER DIVISION,1,,
A HI,1113,Understanding Art,Biship State Community College,ART,100,ART APPRECIATION,3.33,Lower Division Course,3,Gen Ed-Artistic Forms,
A HI,1999,Lower Division Transfer Credit,Biship State Community College,ART,100,ART APPRECIATION,3.33,Lower Division Course,.33,,
A HI,1113,Understanding Art,Calhoun Community College,ART,100,ART APPRECIATION,3,Lower Division Course,3,Gen Ed-Artistic Forms,
A HI,2213,Global Art I,Calhoun Community College,ART,203,ART HISTORY I,3,LOWER DIVISION,3,Gen Ed-Artistic Forms,
A HI,1113,Understanding Art,Chattahoochee Valley Comm Coll,ART,100,ART APPRECIATION,3,Lower Division Course,3,Gen Ed-Artistic Forms,
A HI,1113,Understanding Art,Enterprise-Ozark Comm College,ART,100,ART APPRECIATION,3,Lower Division Course,3,Gen Ed-Artistic Forms,
A HI,1113,Understanding Art,Enterprise-Ozark Comm College,ART,101,ART APPREC,2,Lower Division Course,2,Gen Ed-Artistic Forms,
A HI,1113,Understanding Art,Faulkner State Comm College,ART,100,ART APPRECIATION,3,Lower Division Course,3,Gen Ed-Artistic Forms,
A HI,1113,Understanding Art,Faulkner University,AR,1331,ART APPRECIATION,3,Lower Division Course,3,Gen Ed-Artistic Forms,
A HI,1113,Understanding Art,Gadsden State Comm College,ART,100,ART APPRECIATION,3,Lower Division Course,3,Gen Ed-Artistic Forms,
A HI,1113,Understanding Art,Jefferson State Comm College,ART,100,ART APPRECIATION,3.33,Lower Division Course,3.33,Gen Ed-Artistic Forms,
A HI,1113,Understanding Art,Lawson State Community College,ART,100,ART APPRECIATION,3,Lower Division Course,3,Gen Ed-Artistic Forms,
A HI,1113,Understanding Art,Lurleen B Wallace Comm College,ART,100,ART APPRECIATION,3,LOWER DIVISION,3,Gen Ed-Artistic Forms,
A HI,1113,Understanding Art,Marion Military Institute,ART,100,ART APPRECIATION,3,LOWER DIVISION,3,Gen Ed-Artistic Forms,
A HI,2213,Global Art I,Marion Military Institute,ART,203,ART HISTORY I,3,LOWER DIVISION,3,Gen Ed-Artistic Forms,
